,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
94,1999-06-30,1999-07-22,0.14,0.13,0.01,7.6923
95,1999-03-31,1999-04-22,0.08,0.07,0.01,14.2857
96,1998-12-31,1999-02-03,0.18,0.17,0.01,5.8824
97,1998-09-30,1998-10-22,0.19,0.15,0.04,26.6667
98,1998-06-30,1998-07-22,0.21,0.21,0,0
99,1998-03-31,1998-04-22,0.19,0.19,0,0
100,1997-12-31,1998-03-23,0.25,0.22,0.03,13.6364
101,1997-09-30,1997-10-21,0.23,0.22,0.01,4.5455
102,1997-06-30,1997-07-23,0.21,0.21,0,0
103,1997-03-31,1997-04-23,0.19,0.18,0.01,5.5556
104,1996-12-31,1997-02-13,0.24,0.19,0.05,26.3158
105,1996-09-30,1996-10-17,0.17,0.18,-0.01,-5.5556
106,1996-06-30,1996-07-18,0.16,0.17,-0.01,-5.8824
107,1996-03-31,1996-04-18,0.15,0.16,-0.01,-6.25
