,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
67,2006-03-31,2006-04-19,0.38,0.33,0.05,15.1515
68,2005-12-31,2006-01-23,0.33,0.3,0.03,10
69,2005-09-30,2005-10-19,0.24,0.23,0.01,4.3478
70,2005-06-30,2005-07-18,0.25,0.28,-0.03,-10.7143
71,2005-03-31,2005-04-20,0.28,0.28,0,0
72,2004-12-31,2005-02-02,0.37,0.4,-0.03,-7.5
73,2004-09-30,2004-10-18,0.5,0.49,0.01,2.0408
74,2004-06-30,2004-07-19,0.31,0.28,0.03,10.7143
75,2004-03-31,2004-04-14,0.14,0.13,0.01,7.6923
76,2003-12-31,2004-02-04,0.04,0.05,-0.01,-20
77,2003-09-30,2003-10-22,0.05,0.04,0.01,25
78,2003-06-30,2003-07-21,0.03,0.03,0,0
79,2003-03-31,2003-04-21,0.08,0.08,0,0
80,2002-12-31,2003-01-27,0.16,0.15,0.01,6.6667
81,2002-09-30,2002-10-14,0.15,0.14,0.01,7.1429
82,2002-06-30,2002-07-10,0.09,0.06,0.03,50
83,2002-03-31,2002-04-16,0.02,0.01,0.01,100
84,2001-12-31,2002-02-05,-0.01,None,None,None
85,2001-09-30,2001-10-16,0.01,0.01,0,0
86,2001-06-30,2001-07-24,0.01,0.01,0,0
87,2001-03-31,2001-04-17,0.03,0.02,0.01,50
88,2000-12-31,2001-01-30,0.04,0.03,0.01,33.3333
89,2000-09-30,2000-10-19,0.07,0.06,0.01,16.6667
90,2000-06-30,2000-07-18,0.11,0.1,0.01,10
91,2000-03-31,2000-04-11,0.08,0.08,0,0
92,1999-12-31,2000-02-01,0.07,0.07,0,0
93,1999-09-30,1999-10-12,0.06,0.06,0,0
94,1999-06-30,1999-07-13,0.07,0.05,0.02,40
95,1999-03-31,1999-04-13,0.02,0.02,0,0
96,1998-12-31,1999-02-02,0.04,0.04,0,0
97,1998-09-30,1998-10-14,0.05,0.04,0.01,25
98,1998-06-30,1998-07-15,0.04,0.04,0,0
99,1998-03-31,1998-04-15,0.04,0.03,0.01,33.3333
100,1997-12-31,1998-01-20,0.04,0.05,-0.01,-20
101,1997-09-30,1997-10-08,0.07,0.06,0.01,16.6667
102,1997-06-30,1997-07-10,0.08,0.06,0.02,33.3333
103,1997-03-31,1997-04-09,0.08,0.06,0.02,33.3333
104,1996-12-31,1997-01-21,0.04,0.03,0.01,33.3333
