,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
92,1999-12-31,2000-01-24,0.42,0.44,-0.02,-4.5455
93,1999-09-30,1999-10-21,0.07,0.14,-0.07,-50
94,1999-06-30,1999-07-22,0.34,0.46,-0.12,-26.087
95,1999-03-31,1999-04-22,0.02,None,None,None
96,1998-12-31,1999-01-22,0.63,0.33,0.3,90.9091
97,1998-09-30,1998-10-22,0.71,0.47,0.24,51.0638
98,1998-06-30,1998-07-23,1.16,1.14,0.02,1.7544
99,1998-03-31,1998-04-23,0.95,0.93,0.02,2.1505
100,1997-12-31,1998-01-22,1.52,1.3,0.22,16.9231
101,1997-09-30,1997-10-22,1.25,1.02,0.23,22.549
102,1997-06-30,1997-07-23,1.2,1.15,0.05,4.3478
103,1997-03-31,1997-04-24,0.79,0.72,0.07,9.7222
104,1996-12-31,1997-01-23,1.36,1.16,0.2,17.2414
105,1996-09-30,1996-10-29,0.75,0.68,0.07,10.2941
106,1996-06-30,1996-07-25,0.05,-0.1,0.15,150
107,1996-03-31,1996-04-25,0.48,0.61,-0.13,-21.3115
