,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
93,1999-09-30,1999-10-20,0.08,0.09,-0.01,-11.1111
94,1999-06-30,1999-07-22,0.2,0.19,0.01,5.2632
95,1999-03-31,1999-04-23,0.12,0.1,0.02,20
96,1998-12-31,1999-02-04,0.01,0.01,0,0
97,1998-09-30,1998-10-22,-0.03,-0.04,0.01,25
98,1998-06-30,1998-07-23,0.19,0.22,-0.03,-13.6364
99,1998-03-31,1998-04-22,0.21,0.2,0.01,5
100,1997-12-31,1998-02-05,0.23,0.18,0.05,27.7778
101,1997-09-30,1997-10-23,0.16,0.15,0.01,6.6667
102,1997-06-30,1997-07-24,0.25,0.25,0,0
103,1997-03-31,1997-04-24,0.23,0.24,-0.01,-4.1667
104,1996-12-31,1997-02-06,0.28,0.27,0.01,3.7037
105,1996-09-30,1996-10-23,0.36,0.35,0.01,2.8571
106,1996-06-30,1996-07-18,0.5,0.42,0.08,19.0476
107,1996-03-31,1996-04-26,0.38,0.33,0.05,15.1515
