,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
73,2004-09-30,2004-10-20,0.43,0.34,0.09,26.4706
74,2004-06-30,2004-07-21,0.25,0.2,0.05,25
75,2004-03-31,2004-04-21,0.04,0.03,0.01,33.3333
76,2003-12-31,2004-01-21,-0.04,None,None,None
77,2003-09-30,2003-10-22,-0.02,-0.03,0.01,33.3333
78,2003-06-30,2003-07-23,-0.07,-0.12,0.05,41.6667
79,2003-03-31,2003-04-23,-0.09,-0.17,0.08,47.0588
80,2002-12-31,2003-01-22,-0.04,-0.04,0,0
81,2002-09-30,2002-10-22,0.03,0.03,0,0
82,2002-06-30,2002-07-23,0.12,0.1,0.02,20
83,2002-03-31,2002-04-23,0.25,0.18,0.07,38.8889
84,2001-12-31,2002-01-22,0.31,None,None,None
85,2001-09-30,2001-09-30,0.3813,None,None,None
86,2001-06-30,2001-06-30,0.3126,None,None,None
87,2001-03-31,2001-03-31,0.2482,None,None,None
88,2000-12-31,2000-12-31,0.3357,None,None,None
89,2000-09-30,2000-09-30,0.2364,None,None,None
90,2000-06-30,2000-06-30,0.2248,None,None,None
91,2000-03-31,2000-03-31,0.1475,None,None,None
92,1999-12-31,2000-01-25,0.16,0.06,0.1,166.6667
93,1999-09-30,1999-10-19,0.07,0.06,0.01,16.6667
94,1999-06-30,1999-07-20,0.04,0.03,0.01,33.3333
95,1999-03-31,1999-04-20,0.04,None,None,None
96,1998-12-31,1999-01-21,0.09,0.1,-0.01,-10
97,1998-09-30,1998-10-19,0.16,0.18,-0.02,-11.1111
98,1998-06-30,1998-07-20,0.24,0.2,0.04,20
99,1998-03-31,1998-04-20,0.28,0.3,-0.02,-6.6667
100,1997-12-31,1998-01-20,0.24,0.3,-0.06,-20
101,1997-09-30,1997-10-17,0.33,0.3,0.03,10
102,1997-06-30,1997-07-21,0.31,0.29,0.02,6.8966
103,1997-03-31,1997-04-21,0.26,0.25,0.01,4
104,1996-12-31,1997-01-20,0.26,0.25,0.01,4
105,1996-09-30,1996-10-21,0.25,0.25,0,0
106,1996-06-30,1996-07-22,0.17,0.15,0.02,13.3333
107,1996-03-31,1996-04-22,0.1,0.1,0,0
