,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
46,2011-06-30,2011-07-28,1.31,1.31,0,0
47,2011-03-31,2011-04-28,1.23,1.07,0.16,14.9533
48,2010-12-31,2011-02-17,0.53,0.45,0.08,17.7778
49,2010-09-30,2010-10-21,0.65,0.72,-0.07,-9.7222
50,2010-06-30,2010-07-22,0.83,0.82,0.01,1.2195
51,2010-03-31,2010-04-22,0.6,0.64,-0.04,-6.25
52,2009-12-31,2010-02-18,1.05,1.02,0.03,2.9412
53,2009-09-30,2009-10-22,0.57,0.46,0.11,23.913
54,2009-06-30,2009-07-23,-0.08,0.2,-0.28,-140
55,2009-03-31,2009-04-23,0.27,0.49,-0.22,-44.898
56,2008-12-31,2009-02-19,0.9,0.61,0.29,47.541
57,2008-09-30,2008-10-16,2.07,1.95,0.12,6.1538
58,2008-06-30,2008-07-17,2.12,2.1,0.02,0.9524
59,2008-03-31,2008-04-17,1.46,1.38,0.08,5.7971
60,2007-12-31,2008-02-21,1.06,1.02,0.04,3.9216
61,2007-09-30,2007-10-18,1.22,1.34,-0.12,-8.9552
62,2007-06-30,2007-07-19,1.59,1.57,0.02,1.2739
63,2007-03-31,2007-04-19,1.46,1.32,0.14,10.6061
64,2006-12-31,2007-02-15,0.98,1.22,-0.24,-19.6721
65,2006-09-30,2006-10-19,1.41,1.36,0.05,3.6765
66,2006-06-30,2006-07-20,1.33,1.17,0.16,13.6752
67,2006-03-31,2006-04-20,1.07,1,0.07,7
68,2005-12-31,2006-02-16,0.91,0.89,0.02,2.2472
69,2005-09-30,2005-10-20,0.75,0.63,0.12,19.0476
70,2005-06-30,2005-07-21,0.74,0.61,0.13,21.3115
71,2005-03-31,2005-04-21,0.71,0.68,0.03,4.4118
72,2004-12-31,2005-02-17,0.66,0.5,0.16,32
73,2004-09-30,2004-10-21,0.68,0.65,0.03,4.6154
74,2004-06-30,2004-07-15,0.81,0.77,0.04,5.1948
