,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
93,1999-09-30,1999-10-20,-0.12,0.09,-0.21,-233.3333
94,1999-06-30,1999-07-21,0.09,0.11,-0.02,-18.1818
95,1999-03-31,1999-04-21,0.03,-0.01,0.04,400
96,1998-12-31,1999-01-21,0.22,0.17,0.05,29.4118
97,1998-09-30,1998-10-21,0.22,0.21,0.01,4.7619
98,1998-06-30,1998-07-22,0.19,0.18,0.01,5.5556
99,1998-03-31,1998-04-20,0.01,0.02,-0.01,-50
100,1997-12-31,1998-01-23,0.19,0.19,0,0
101,1997-09-30,1997-10-23,0.17,0.19,-0.02,-10.5263
102,1997-06-30,1997-07-22,0.11,0.17,-0.06,-35.2941
103,1997-03-31,1997-04-17,0.03,0.03,0,0
104,1996-12-31,1997-01-21,0.2,0.2,0,0
105,1996-09-30,1996-10-22,0.23,0.21,0.02,9.5238
106,1996-06-30,1996-07-18,0.18,0.17,0.01,5.8824
107,1996-03-31,1996-04-17,0.04,0.05,-0.01,-20
